time,x1,x2,appliedInput,integratedCost
1.66,0.113320920874705,-0.207240412249835,0.245630002523537,1.41443946898153
1.68,0.109224948574329,-0.202371276509742,0.241292384333121,1.41671143861372
1.7,0.105225494988565,-0.197588364702507,0.237007591660633,1.41888503849133
1.72,0.101320846196542,-0.192890621430004,0.232775510423766,1.42096415884923
1.74,0.0975093093613988,-0.188276993745189,0.228596009701603,1.42295255290222
1.76,0.0937892126779418,-0.183746431482606,0.224468942359412,1.4248538409868
1.78,0.0901589053138082,-0.179297887576535,0.22039414565853,1.4266715146049
1.8,0.0866167573443919,-0.174930318367099,0.216371441851629,1.42840894037065
1.82,0.0831611596817634,-0.170642683894598,0.212400638763602,1.4300693638615
1.84,0.0797905239978185,-0.166433948182379,0.208481530358354,1.43165591337504
1.86,0.0765032826418829,-0.162303079508502,0.20461389729174,1.43317160359261
1.88,0.0732978885529919,-0.158249050666484,0.200797507450906,1.43461933915139
1.9,0.0701728151670632,-0.154270839215391,0.19703211648029,1.436001918126
1.92,0.0671265563191715,-0.150367427719544,0.193317468294526,1.43732203542124
1.94,0.0641576261411311,-0.146537803978091,0.189653295578498,1.43858228607722
1.96,0.0612645589545863,-0.142780961244708,0.186039320274776,1.43978516848847
1.98,0.058445909159804,-0.139095898437671,0.182475254058688,1.4409330875383
2,0.0557002511203595,-0.135481620340557,0.178960798801249,1.44202835765001
2.02,0.0530261790438994,-0.131937137793798,0.17549564702018,1.44307320575631
2.04,0.0504223068591643,-0.12846146787733,0.172079482319255,1.44406977418849
2.06,0.0478872680894436,-0.125053634084582,0.168711979816185,1.44502012348681
2.08,0.045419715722637,-0.121712666488005,0.16539280655928,1.44592623513352
2.1,0.0430183220780872,-0.118437601896391,0.162121621933083,1.44679001421011
2.12,0.0406817786703471,-0.115227484004177,0.158898078053222,1.44761329198016
2.14,0.0384087960700383,-0.112081363532967,0.155721820150663,1.44839782839935
2.16,0.0361981037619566,-0.108998298365468,0.15259248694559,1.4491453145541
2.18,0.0340484500005719,-0.105977353672052,0.149509711011123,1.44985737503019
2.2,0.031958601663069,-0.103017602030143,0.146473119127054,1.45053557021306
2.22,0.0299273441000715,-0.100118123536627,0.14348233262383,1.45118139852104
2.24,0.0279534809841847,-0.0972780059134829,0.140536967716958,1.45179629857302
2.26,0.0260358341564929,-0.0944963446068087,0.137636635832042,1.45238165129206
2.28,0.02417324347114,-0.091772242879452,0.134780943920627,1.45293878194633
2.3,0.0223645666381203,-0.089104811897405,0.131969494767058,1.45346896212872
2.32,0.0206086790644026,-0.0864931708101541,0.129201887286522,1.45397341167669
2.34,0.0189044736935052,-0.0839364468251546,0.12647771681447,1.45445330053357
2.36,0.0172508608436402,-0.0814337752766018,0.123796575387585,1.45490975055283
2.38,0.0156467680445367,-0.0789842996886658,0.121158052016483,1.45534383724659
2.4,0.0140911398730541,-0.076587171833353,0.118561732950326,1.45575659147975
2.42,0.0125829377876904,-0.074241551783156,0.116007201933496,1.45614900111108
2.44,0.011121139962088,-0.0719466079586465,0.113494040454531,1.45652201258254
2.46,0.00970474111763745,-0.0697015171711666,0.111021827987462,1.45687653245813
2.48,0.00833275235527467,-0.0675054646607673,0.108590142225724,1.4572134289136
2.5,0.0070042009865659,-0.0653576441295424,0.106198559308811,1.45753353317822
2.52,0.00571813036417085,-0.0632572577704995,0.103846654041819,1.45783764092984
2.54,0.00447359971177183,-0.0612035162921114,0.101534000108038,1.4581265136445
2.56,0.00326968395355391,-0.0591956389386822,0.0992601702747499,1.45840087990173
2.58,0.00210547354331846,-0.0572328535066656,0.0970247365923765,1.45866143664684
2.6,0.000980074293309755,-0.0553143963570646,0.0948272705871325,1.45890885041114
2.62,-0.000107392797168317,-0.0534395124240424,0.0926673434473215,1.45914375849147
2.64,-0.00115779171327096,-0.0516074552198693,0.0905445262034237,1.45936677008998
2.66,-0.00217197159619445,-0.0498174868363293,0.0884583899021138,1.45957846741537
2.68,-0.00315076691475188,-0.0480688779427049,0.0864085057743471,1.45977940674656
2.7,-0.00409499763687539,-0.0463609077804601,0.0843944453976508,1.45997011945991
2.72,-0.00500546940097986,-0.0446928641547324,0.0824157808527534,1.46015111302112
2.74,-0.00588297368712567,-0.043064043422749,0.0804720848746824,1.46032287194253
2.76,-0.00672828798791976,-0.0414737504792752,0.0785629309984615,1.46048585870717
2.78,-0.00754217597909703,-0.0399212987392011,0.0766878936995317,1.46064051466029
2.8,-0.00832538768972556,-0.0384060101173725,0.0748465485290221,1.4607872608694
2.82,-0.00907865967198184,-0.0369272150057663,0.0730384722439918,1.46092649895376
2.84,-0.00980271517044383,-0.0354842522481102,0.0712632429327637,1.46105861188422
2.86,-0.0104982642908515,-0.0340764691120446,0.0695204401354671,1.4611839647543
